CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B39.4, Histoplasmosis capsulati, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B39.5, Histoplasmosis duboisii
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B57.0, Acute Chagas' disease with heart involvement
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, B57.2, Chagas' disease (chronic) with heart involvement
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, C38.0, Malignant neoplasm of heart
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, C45.2, Mesothelioma of pericardium
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, D15.1, Benign neoplasm of heart
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, D86.85, Sarcoid myocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E51.11, Dry beriberi
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E51.12, Wet beriberi
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E74.01, von Gierke disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E74.02, Pompe disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E74.03, Cori disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E74.04, McArdle disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.01, Hurler's syndrome
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.02, Hurler-Scheie syndrome
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.03, Scheie's syndrome
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.1, Mucopolysaccharidosis, type II
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.210, Morquio A mucopolysaccharidoses
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.211, Morquio B mucopolysaccharidoses
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.22, Sanfilippo mucopolysaccharidoses
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.29, Other mucopolysaccharidoses
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.3, Mucopolysaccharidosis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.8, Other disorders of glucosaminoglycan metabolism
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E76.9, Glucosaminoglycan metabolism disorder, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E84.0, Cystic fibrosis with pulmonary manifestations
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.1, Neuropathic heredofamilial amyloidosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.2, Heredofamilial amyloidosis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.3, Secondary systemic amyloidosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.4, Organ-limited amyloidosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.81, Light chain (AL) amyloidosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.82, Wild-type transthyretin-related (ATTR) amyloidosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.89, Other amyloidosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, E85.9, Amyloidosis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, G11.1, Early-onset cerebellar ataxia
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, G71.0, Muscular dystrophy
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, G71.11, Myotonic muscular dystrophy
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I01.0, Acute rheumatic pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I01.1, Acute rheumatic endocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I01.2, Acute rheumatic myocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I05.0, Rheumatic mitral stenosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I05.1, Rheumatic mitral insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I05.2, Rheumatic mitral stenosis with insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I05.9, Rheumatic mitral valve disease, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I06.0, Rheumatic aortic stenosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I06.1, Rheumatic aortic insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I06.2, Rheumatic aortic stenosis with insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I06.8, Other rheumatic aortic valve diseases
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I06.9, Rheumatic aortic valve disease, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I07.0, Rheumatic tricuspid stenosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I07.1, Rheumatic tricuspid insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I07.2, Rheumatic tricuspid stenosis and insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I08.0, Rheumatic disorders of both mitral and aortic valves
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I08.1, Rheumatic disorders of both mitral and tricuspid valves
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I08.2, Rheumatic disorders of both aortic and tricuspid valves
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I08.3, Combined rheumatic disorders of mitral, aortic and tricuspid valves
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I09.0, Rheumatic myocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I09.1, Rheumatic diseases of endocardium, valve unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I09.2, Chronic rheumatic pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I09.81, Rheumatic heart failure
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I09.89, Other specified rheumatic heart diseases
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I11.0, Hypertensive heart disease with heart failure
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I13.0, Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I13.2, Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I23.1, Atrial septal defect as current complication following acute myocardial infarction
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I23.2, Ventricular septal defect as current complication following acute myocardial infarction
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I23.4, Rupture of chordae tendineae as current complication following acute myocardial infarction
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I23.5, Rupture of papillary muscle as current complication following acute myocardial infarction
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I25.3, Aneurysm of heart
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I26.01, Septic pulmonary embolism with acute cor pulmonale
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I26.02, Saddle embolus of pulmonary artery with acute cor pulmonale
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I26.09, Other pulmonary embolism with acute cor pulmonale
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I26.90, Septic pulmonary embolism without acute cor pulmonale
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I26.92, Saddle embolus of pulmonary artery without acute cor pulmonale
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I26.99, Other pulmonary embolism without acute cor pulmonale
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.0, Primary pulmonary hypertension
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.1, Kyphoscoliotic heart disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.20, Pulmonary hypertension, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.21, Secondary pulmonary arterial hypertension
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.22, Pulmonary hypertension due to left heart disease
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.23, Pulmonary hypertension due to lung diseases and hypoxia
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.24, Chronic thromboembolic pulmonary hypertension
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.29, Other secondary pulmonary hypertension
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.81, Cor pulmonale (chronic)
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.82, Chronic pulmonary embolism
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I27.83, Eisenmenger's syndrome
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I28.0, Arteriovenous fistula of pulmonary vessels
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I28.1, Aneurysm of pulmonary artery
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I28.8, Other diseases of pulmonary vessels
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I28.9, Disease of pulmonary vessels, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I30.0, Acute nonspecific idiopathic pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I30.1, Infective pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I30.8, Other forms of acute pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I30.9, Acute pericarditis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I31.0, Chronic adhesive pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I31.1, Chronic constrictive pericarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I31.2, Hemopericardium, not elsewhere classified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I31.3, Pericardial effusion (noninflammatory)
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I31.8, Other specified diseases of pericardium
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I31.9, Disease of pericardium, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I32, Pericarditis in diseases classified elsewhere
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I33.0, Acute and subacute infective endocarditis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I33.9, Acute and subacute endocarditis, unspecified
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I34.0, Nonrheumatic mitral (valve) insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I34.1, Nonrheumatic mitral (valve) prolapse
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I34.2, Nonrheumatic mitral (valve) stenosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I35.0, Nonrheumatic aortic (valve) stenosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I35.1, Nonrheumatic aortic (valve) insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I35.2, Nonrheumatic aortic (valve) stenosis with insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I36.0, Nonrheumatic tricuspid (valve) stenosis
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I36.1, Nonrheumatic tricuspid (valve) insufficiency
93451, Right heart cath<<<wut>>>RIGHT HEART CATHETERIZATION INCLUDING MEASUREMENT(S) OF OXYGEN SATURATION AND CARDIAC OUTPUT, WHEN PERFORMED, I36.2, Nonrheumatic tricuspid (valve) stenosis with insufficiency
