CPT_CODES, CPT_DESCRIPTION, ICD_CODES, ICD_DESCRIPTION
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.1, Left ventricular failure, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.20, Unspecified systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.21, Acute systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.22, Chronic systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.23, Acute on chronic systolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.30, Unspecified diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.31, Acute diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.32, Chronic diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.33, Acute on chronic diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.40, Unspecified combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.41, Acute combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.42, Chronic combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.43, Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.810, Right heart failure, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.811, Acute right heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.812, Chronic right heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.813, Acute on chronic right heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.814, Right heart failure due to left heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.82, Biventricular heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.83, High output heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.84, End stage heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.89, Other heart failure
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I50.9, Heart failure, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I60.2, Nontraumatic subarachnoid hemorrhage from anterior communicating artery
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.013, Cerebral infarction due to thrombosis of bilateral vertebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.033, Cerebral infarction due to thrombosis of bilateral carotid arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.113, Cerebral infarction due to embolism of bilateral vertebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.133, Cerebral infarction due to embolism of bilateral carotid arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.213, Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.233, Cerebral infarction due to unspecified occlusion or stenosis of bilateral carotid arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.313, Cerebral infarction due to thrombosis of bilateral middle cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.323, Cerebral infarction due to thrombosis of bilateral anterior cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.333, Cerebral infarction to thrombosis of bilateral posterior cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.343, Cerebral infarction to thrombosis of bilateral cerebellar arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.413, Cerebral infarction due to embolism of bilateral middle cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.423, Cerebral infarction due to embolism of bilateral anterior cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.433, Cerebral infarction due to embolism of bilateral posterior cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.443, Cerebral infarction due to embolism of bilateral cerebellar arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.513, Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.523, Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.533, Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, I63.543, Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.00, Dyspnea, unspecified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.01, Orthopnea
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.02, Shortness of breath
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.03, Acute respiratory distress
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.09, Other forms of dyspnea
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.2, Wheezing
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.82, Tachypnea, not elsewhere classified
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R06.89, Other abnormalities of breathing
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R60.0, Localized edema
83880, Assay of natriuretic peptide<<<wut>>>NATRIURETIC PEPTIDE, R60.1, Generalized edema
